Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
104,-1.083,XTerra RP18,2.38,1.29,1.83,0.33,0.2,0.07,PEG,3.5,TPP,125
197,-1.5,XTerra RP8,1.1,1.26,1.73,0.3,0.17,0.07,PEG,3.5,TPP,125
220,-1.642,YMC Basic (C8),1.4,1.26,0.98,0.57,0.51,0.27,C8,3,TPP,0
19,-0.79,YMC Hydrosphere C18,3.9,1.34,1.2,0.56,0.39,0.08,C18,5,TPP,120
156,-1.319,YMC Triart C18,6.3,1.44,1.23,0.45,0.3,0.1,C18,5,TPP,120
53,-0.927,YMC-Pack ODS-AQ,4.44,1.46,1.25,0.57,0.41,0.11,Aqua,5,TPP,120
109,-1.112,YMC-Pack Pro C18,4.71,1.49,1.29,0.49,0.39,0.09,C18,5,TPP,120
321,-2.688,YMC-Pack Pro C18 RS,9.8,1.53,1.47,0.39,0.33,0.08,C18,5,TPP,80
232,-1.711,YMC-Pack Pro C4,1.45,1.33,0.73,0.4,0.31,0.08,C4,5,TPP,120
364,-9.915,ZirChrom MS,2.02,1.43,1.62,0.27,20,6.28,C18,5,TPP,300
366,-10.594,ZirChrom PBD,1.28,1.41,2.08,0.32,18.77,9.2,Polybutadiene,5,TPP,300
333,-3.073,Zorbax 300 diphenyl 1.8um,0.32,1.06,0.93,0.98,0.7,0.42,Diphenyl,1.8,TPP,300
112,-1.121,Zorbax 300 SB-C18 1.8um,1.58,1.44,1.2,0.69,0.73,0.21,C18,1.8,TPP,300
336,-3.137,Zorbax 300 SB-C3 1.8um,0.29,1.07,1.07,2.32,1,0.32,C3,1.8,TPP,300
67,-0.967,Zorbax Bonus-RP,1.74,1.43,1.6,0.31,0.3,0.04,PEG,3.5,TPP,80
206,-1.538,Zorbax Eclipse plus C18 1.8 µm,5.91,1.51,1.15,0.44,0.37,0.09,C18,1.8,TPP,95
198,-1.508,Zorbax Eclipse plus C18 3.5 µm,5.76,1.51,1.16,0.44,0.29,0.1,C18,3.5,TPP,95
201,-1.512,Zorbax Eclipse XB-phenyl,1.35,1.3,1,1.22,0.63,0.13,Phenyl,3.5,TPP,80
172,-1.376,Zorbax Eclipse XDB-C18,5.79,1.5,1.3,0.47,0.35,0.09,C18,3.5,TPP,80
209,-1.567,Zorbax Extend C18,6.66,1.5,1.49,0.38,0.2,0.08,C18,3.5,TPP,80
226,-1.693,Zorbax Rx C18,5.68,1.57,1.61,0.54,0.55,0.11,C18,3.5,TPP,80
116,-1.139,Zorbax SB C8,1.97,1.37,1.08,1.27,0.81,0.12,C8,3.5,TPP,80
147,-1.282,Zorbax SB C8,2.23,1.37,0.93,1.32,1.26,0.14,C8,1.8,TPP,80
135,-1.218,Zorbax SB-C18,5.37,1.49,1.24,0.64,0.94,0.1,C18,1.8,TPP,80
177,-1.406,Zorbax SB-C18,6,1.49,1.2,0.65,1.46,0.13,C18,3.5,TPP,80
132,-1.209,Zorbax SB-C18 300,1.23,1.44,1.22,0.76,1,0.12,C18,3.5,TPP,300
282,-2.086,Zorbax SB-C3,0.91,1.32,1.06,2.71,0.88,0.11,C3,3.5,TPP,80
301,-2.256,Zorbax SB-CN,0.36,1.18,2.12,1.14,1.62,0.1,CN,0,TPP,80
318,-2.612,Zorbax SB-Phenyl,1.09,1.3,1.18,3.69,1.08,0.13,Phenyl,3.5,TPP,80
262,-1.947,Zorbax-SB Aq,0.93,1.31,1.18,2.54,1.27,0.13,Aqua,3.5,TPP,80
