Rank,CDF,Column Name,kPB,?CH2,?T/O,?C/P,?B/P pH 7.6,?B/P pH 2.7,Type*,Particle Size** [µm],TPP/SPP,Pore Size [A]
41,-0.875,GraceSmart RP 18,2.37,1.44,1.32,0.8,1.65,0.1,C18,5,TPP,120
16,-0.775,Grom-Sil 100 ODS-2FE,4.68,1.46,1.72,0.59,0.72,0.17,C18,5,TPP,100
7,-0.642,Grom-Sil ODS-0 AB,3.46,1.45,1.4,0.72,0.67,0.19,C18,5,TPP,100
200,-1.51,Grom-Sil ODS-4 HE,6.28,1.5,1.27,0.54,0.31,0.1,C18,5,TPP,120
352,-4.102,Grom-Sil ODS-7 pH,13.68,1.54,1.53,0.39,0.32,0.06,C18,4,TPP,80
185,-1.438,HALO C18,6.01,1.51,1.38,0.42,0.3,0.1,C18,2.7,SPP,90
52,-0.921,HALO C18 Peptide (Ascentis Peptide),2.65,1.45,1.22,0.72,0.57,0.13,C18,2.7,SPP,160
134,-1.215,Halo C8,2.68,1.4,0.93,0.29,0.31,0.08,C18,2.7,SPP,90
268,-1.98,Halo PFP,1.45,1.24,2.43,1.09,1.95,0.36,PFP,2.7,SPP,90
3,-0.559,Halo RP amide,3.42,1.42,1.75,0.25,0.65,0.06,PEG,2.7,SPP,90
313,-2.474,Helix STS,0.37,1.43,2.52,1,4.13,0.15,C18,5,TPP,0
120,-1.162,Hichrom C8 3.5um,2.22,1.35,1.01,0.38,0.49,0.12,C8,3.5,TPP,150
38,-0.858,Hichrom RPB,4.56,1.4,1.21,0.36,0.18,0.11,C8/C18,5,TPP,110
118,-1.148,HiQ Sil C18,6.02,1.46,1.45,0.67,0.88,0.12,C18,5,TPP,120
267,-1.97,Hypersil 100 HS C18,7.66,1.53,1.4,0.42,1.01,0.25,C18,5,TPP,100
47,-0.902,Hypersil BDS C18,4.5,1.47,1.49,0.39,0.19,0.17,C18,5,TPP,130
259,-1.937,Hypersil BDS phenyl,0.52,1.24,1,0.85,0.56,0.25,Phenyl,5,TPP,130
365,-10.18,Hypersil Duet Cation,1.98,1.48,1.55,1.28,7.36,13.63,Alkyl/SCX,5,TPP,120
91,-1.045,Hypersil Elite C18,4.76,1.49,1.52,0.37,0.3,0.14,C18,5,TPP,120
33,-0.848,Hypersil GOLD,2.42,1.42,1.3,0.34,0.35,0.12,C12,5,TPP,175
176,-1.404,Hypersil GOLD aQ,2.09,1.44,2.33,0.69,1.42,0.12,Aqua,5,TPP,175
296,-2.193,Hypersil GOLD PFP,0.7,1.25,2.55,1.02,0.94,0.17,PFP,5,TPP,175
329,-2.854,Hypersil Gold PFP 1.9 µm,0.53,1.11,2.45,1.15,1.63,0.34,PFP,1.9,TPP,175
288,-2.154,Hypersil Gold PFP 3.0 µm,0.78,1.21,2.37,0.58,0.58,0.17,PFP,3,TPP,175
212,-1.581,Hypersil GOLD phenyl 3um,0.88,1.3,1.04,1.04,0.44,0.12,Phenyl,3,TPP,175
34,-0.851,Hypersil ODS,4.44,1.45,1.28,0.38,1.04,0.64,C18,5,TPP,120
300,-2.239,Hypersil phenyl,0.47,1.25,0.92,2.04,2,0.85,Phenyl,5,TPP,120
337,-3.182,HyPURITY Advance (C8),1.13,1,1.59,0.39,0.8,0.13,PEG,5,TPP,190
283,-2.087,HyPURITY AQUASTAR,1.32,1.39,2.65,1.25,2.66,0.13,Aqua,5,TPP,190
32,-0.839,HyPURITY C18,3.2,1.47,1.6,0.37,0.29,0.1,C18,5,TPP,190
270,-1.983,HyPURITY C4,0.55,1.3,0.72,0.44,0.3,0.1,C4,5,TPP,190
164,-1.336,HyPURITY C8,1.59,1.35,1,0.34,0.3,0.11,C8,5,TPP,190
317,-2.599,HyPURITY CN,0.08,1.12,1.87,0.81,2.21,0.08,CN,5,TPP,190
338,-3.216,Inertsil CN3,0.57,1.04,1.97,0.26,3.27,0.03,CN,5,TPP,100
149,-1.3,Inertsil ODS,6.31,1.47,1.57,0.36,0.53,0.01,C18,5,TPP,100
242,-1.787,Inertsil ODS3,7.74,1.45,1.29,0.48,0.29,0.01,C18,5,TPP,100
239,-1.747,Inertsil phenyl,1.03,1.26,1,1.04,0.57,0.09,Phenyl,5,TPP,150
284,-2.093,InertSustain C18,8.35,1.48,1.21,0.42,0.29,0.1,C18,5,TPP,100
88,-1.026,Interchrom RPX 2.2 µm,5.44,1.45,1.25,0.67,0.91,0.08,Proprietary,2.2,TPP,100
331,-2.912,J'Sphere JH ODS,10.6,1.51,1.59,0.39,0.43,0.06,C18,0,TPP,80
24,-0.809,Jupiter 3 µm C18 300A,2.57,1.45,1.44,0.37,0.36,0.12,C18,3,TPP,300
183,-1.425,Kinetex Biphenyl,1.81,1.31,1.52,2.14,0.8,0.16,Biphenyl,2.6,SPP,100
79,-0.995,Kinetex C18 1.7 µm,3.6,1.47,1.28,0.46,0.12,0.09,C18,1.7,SPP,100
28,-0.83,Kinetex C18 2.6 µm sp,3.59,1.45,1.26,0.46,0.41,0.1,C18,2.6,SPP,100
108,-1.104,Kinetex C8,1.84,1.35,1.15,0.36,0.42,0.09,C8,2.6,SPP,100
74,-0.983,Kinetex EVO C18,3.07,1.44,1.12,0.42,0.37,0.09,C18,2.6,SPP,100
199,-1.509,Kinetex F5,1.36,1.32,2.29,0.77,0.71,0.13,PFP,2.6,SPP,100
274,-2.009,Kinetex PFP 2.6 µm sp,1.38,1.26,2.56,0.61,1.26,0.39,PFP,2.6,SPP,100
10,-0.714,Knaur Blue Orchid 175 1.8um C18,3.08,1.42,1.32,0.36,0.42,0.12,C18,1.8,TPP,175
68,-0.969,Knaur Blue Orchid 175 1.8um C18A,3.71,1.45,2.08,0.45,0.77,0.11,C18,1.8,TPP,175
210,-1.568,Kromasil C18,7.01,1.48,1.53,0.4,0.31,0.11,C18,5,TPP,100
97,-1.061,Kromasil Eternity C18 2.5 µm,5.21,1.42,1.15,0.45,0.22,0.09,C18,2.5,TPP,100
75,-0.983,Kromasil Eternity C18 5.0 µm,5.08,1.41,1.18,0.46,0.22,0.1,C18,5,TPP,100
84,-1.017,Kromasil Eternity phenyl hexyl 2.5 µm,3.44,1.35,1,0.62,0.4,0.11,Phenyl,2.5,TPP,100
165,-1.345,Kromasil phenyl,2.02,1.3,1,0.96,0.48,0.13,Phenyl,5,TPP,100
43,-0.883,Lichrospher RP Select B,2.76,1.32,1.21,0.66,1.4,0.14,C8,5,TPP,60
249,-1.847,Lichrospher RP18,7.92,1.48,1.73,0.54,1.39,0.19,C18,5,TPP,100
174,-1.385,Luna C18,5.97,1.47,1.17,0.4,0.24,0.08,C18,5,TPP,100
184,-1.433,Luna C18 (2),6.34,1.47,1.23,0.41,0.26,0.06,C18,5,TPP,100
319,-2.628,Luna CN,0.17,1.14,1.47,0.75,3.51,0.24,CN,5,TPP,100
360,-5.548,Luna NH2 (tests not appropriate),-0.17,1.01,4.05,0.47,0.43,3.41,Amino,5,TPP,100
136,-1.221,Luna Omega C18,5.42,1.46,1.13,0.45,0.42,0.11,C18,1.6,TPP,100
27,-0.83,Luna Omega Polar C18,3.58,1.43,1.14,0.67,0.66,0.13,C18,1.6,TPP,100
48,-0.903,Luna Omega PS C18,3.84,1.43,1.11,0.53,0.51,0.08,C18,1.6,TPP,100
169,-1.354,Luna PFP,3.26,1.35,2.42,0.76,0.59,0.09,PFP,5,TPP,100
82,-1.012,Luna Phenyl-Hexyl,2.82,1.33,1.1,0.91,0.33,0.11,Phenyl,5,TPP,100
203,-1.515,Magellan C18,6.19,1.5,1.24,0.41,0.27,0.15,C18,5,TPP,50
103,-1.076,MetaSil Basic,2.03,1.32,1.25,0.32,0.29,0.09,Mixed alkyl,5,TPP,100
340,-3.359,MonoChrom CN,0.24,1,1.96,0.38,0.53,0.18,CN,5,TPP,110
358,-4.82,MonoChrom Diol,0,1,3.7,0.49,3.3,0,diol,5,TPP,110
251,-1.892,Monochrom MS,1.69,1.27,2.53,0.83,0.66,0.15,PFP,5,TPP,110
85,-1.017,Novapak C18,4.49,1.49,1.44,0.48,0.27,0.14,C18,5,TPP,60
230,-1.702,Novapak phenyl,0.98,1.29,1,1.56,0.89,0.25,Phenyl,5,TPP,60
248,-1.841,Nucleodur C18 ec,7.86,1.48,1.74,0.44,0.76,0.08,C18,5,TPP,110
312,-2.417,Nucleodur C18 Gravity 1.8 µm,9,1.52,1.39,0.37,0.26,0.07,C18,1.8,TPP,110
314,-2.512,Nucleodur C18 Gravity 3.0 µm,9.35,1.52,1.38,0.37,0.27,0.07,C18,3,TPP,110
162,-1.333,Nucleodur C8 Gravity,2.91,1.36,0.83,0.3,0.35,0.06,C18,0,TPP,110
266,-1.964,Nucleodur Isis 1.8 µm,8,1.5,1.8,0.35,0.54,0.06,C18,1.8,TPP,110
227,-1.7,Nucleodur Isis 3um,7.22,1.48,1.89,0.33,0.48,0.07,C18,3,TPP,110
286,-2.127,Nucleodur Pyramid 1.8 µm,8.27,1.5,1.24,0.47,0.4,0.06,C18 polar endcap,1.8,TPP,110
237,-1.736,Nucleodur Pyramid 3.0 µm,6.95,1.5,1.19,0.49,0.41,0.04,C18 polar endcap,3,TPP,110
148,-1.292,Nucleodur Sphinx 1.8 µm,5.26,1.45,1,0.69,0.4,0.09,C18/phenyl,1.8,TPP,110
128,-1.196,Nucleodur Sphinx 3.0 µm,4.74,1.43,0.95,0.67,0.45,0.09,C18/phenyl,3,TPP,110
143,-1.257,Nucleosil 100-5 C18 HD,6.04,1.48,1.54,0.4,0.47,0.1,C18,5,TPP,100
15,-0.766,Nucleosil 100-5 C18 Nautilus,3.37,1.4,1.98,0.33,0.48,0.01,PEG,5,TPP,100
117,-1.14,Nucleosil 100-5 C8 HD,3.05,1.38,0.91,0.49,0.51,0.13,C8,5,TPP,100
139,-1.24,Nucleosil 300-5 C18,1.33,1.43,1.9,0.88,2.22,0.22,C18,5,TPP,300
37,-0.857,Nucleosil C18,4.8,1.44,1.68,0.7,2.18,0.13,C18,5,TPP,100
281,-2.077,Omnisphere C18,8.54,1.48,1.69,0.41,0.56,0.11,C18,5,TPP,110
158,-1.321,Optimal ODS-L,5.87,1.48,1.26,0.51,0.3,0.09,C18,5,TPP,120
167,-1.349,Optimal-ODS H,6.15,1.48,1.38,0.44,0.24,0.09,C18,5,TPP,120
173,-1.377,Phenonemex Aqua,6.21,1.48,1.27,0.6,0.52,0.11,Aqua,5,TPP,125
14,-0.739,pHidelity C18,3.11,1.43,1.48,0.53,2.19,0.2,C18,5,TPP,200
289,-2.161,Pinnacle DB PFPP,0.82,1.22,2.45,0.65,0.85,0.3,PFP,5,TPP,140
127,-1.192,Platinum C18,2.12,1.39,1.23,0.81,2.82,0.21,C18,5,TPP,100
356,-4.685,Platinum C18 EPS,0.97,1.31,1.98,2.62,10.11,0.26,C18,5,TPP,100
204,-1.521,Polaris Amide C18,2.87,1.43,2.43,0.2,0.15,-0.02,PEG,5,TPP,200
20,-0.791,Polaris C18 A,3.2,1.44,1.85,0.34,0.33,0.11,C18,5,TPP,200
8,-0.706,Polaris C18 Ether,2.98,1.45,1.63,0.46,0.38,0.1,PEG/C18,5,TPP,200
170,-1.359,Polaris C8 Ether,0.82,1.29,1.49,0.5,0.56,0.31,PEG/C8,5,TPP,200
137,-1.222,Poroshell 120 EC-C18 2.7 mm,5.29,1.49,1.29,0.41,0.35,0.1,C18,2.7,SPP,120
36,-0.857,Poroshell 120 SB-C18 2.7 µm,3.43,1.45,1.21,0.55,0.62,0.12,C18,2.7,SPP,120
58,-0.944,Poroshell Bonus RP,1.73,1.34,1.57,0.39,0.31,0.01,PEG,2.7,SPP,120
98,-1.066,Poroshell HPH C18,3.83,1.49,1.26,0.45,0.38,0.1,C18,2.7,SPP,120
215,-1.594,Poroshell SB-Aq,0.55,1.3,1.11,0.36,1.14,0.18,Aqua,2.7,SPP,120
306,-2.317,PoroshellPFP,1.25,1.5,2.8,0.67,0.67,0.04,PFP,2.7,SPP,120
89,-1.031,PoroshellPhenyl Hexyl,1.98,1.33,1.21,0.86,0.44,0.14,Phenyl,2.7,SPP,120
361,-6.886,Primesep 100,1.78,1.28,1.92,0.88,9.6,7.83,Alkyl/WCX,5,TPP,100
359,-5.164,Primesep 200,1.79,1.26,2.27,0.8,11.12,2.12,Alkyl/WCX,5,TPP,100
367,-11.243,Primesep A,1.63,1.26,1.89,1.03,16.3,12.11,Alkyl/SCX,5,TPP,100
102,-1.076,Primesep B,1.78,1.38,2,0.56,0.21,-0.03,Alkyl/SAX,5,TPP,100
166,-1.346,Prism NRP (nec),1.68,1.35,2.24,0.42,1.23,0.01,PEG,5,TPP,100
12,-0.718,Prism RP (ec),2.54,1.33,1.66,0.38,0.59,0.01,PEG,5,TPP,100
105,-1.091,Prodigy ODS2,4.94,1.49,1.43,0.37,0.5,0.01,C18,5,TPP,150
241,-1.769,Prodigy ODS3,7.27,1.49,1.26,0.42,0.27,0.09,C18,5,TPP,100
280,-2.076,Prodigy phenyl,0.87,1.22,1,1,2.52,0.16,Phenyl,5,TPP,100
65,-0.957,Prontosil C18-AQ,4.8,1.46,1.28,0.58,0.56,0.11,Aqua,5,TPP,120
40,-0.874,Purospher RP18,4.78,1.44,1.93,0.72,1.29,-0.07,C18,5,TPP,90
181,-1.422,Purospher RP18e,6.51,1.48,1.75,0.46,0.34,0.08,C18,5,TPP,90
272,-1.984,Purospher STAR RP C18 2 µm,8.31,1.47,1.74,0.43,0.36,0.1,C18,2,TPP,120
298,-2.233,Purospher STAR RP18 3 µm,8.41,1.52,1.88,0.4,0.28,0.09,C18,3,TPP,120
186,-1.445,Purospher STAR RP18e,6.57,1.48,1.56,0.34,0.34,0.1,C18,5,TPP,120
23,-0.802,Pursuit C18,3.73,1.47,1.57,0.38,0.37,0.11,C18,5,TPP,200
292,-2.175,Pursuit Diphenyl,0.52,1.21,0.89,0.77,0.44,0.23,Diphenyl,5,TPP,200
253,-1.902,Pursuit PFP,1.03,1.28,2.46,0.73,0.4,0.12,PFP,5,TPP,200
279,-2.069,Pursuit XRs C18,8.23,1.5,1.45,0.42,0.32,0.1,C18,5,TPP,100
297,-2.208,Pursuit XRs DP,5.97,1.18,0.87,0.88,0.46,0.14,Diphenyl,5,TPP,100
161,-1.328,QS Strategy C18-2,6.05,1.49,1.54,0.42,0.43,0.08,C18,5,TPP,100
66,-0.966,QS Uptisphere 3 HDO,4.88,1.46,1.29,0.57,0.55,0.11,C18,3,TPP,120
159,-1.323,QS Uptisphere 3 ODB,6.19,1.48,1.36,0.49,0.52,0.1,C18,3,TPP,120
150,-1.3,QS Uptisphere 5 MM1,1.8,1.39,0.94,0.45,0.73,0.66,C8/SCX,5,TPP,120
133,-1.21,QS Uptisphere 5 PLP,1.18,1.33,1.81,0.44,0.39,-0.12,PEG,5,TPP,120
324,-2.735,QS Uptisphere 5 TF,1.77,1.52,3.11,0.33,0.61,0.15,C18,5,TPP,120
244,-1.811,Resolve C18,2.4,1.46,1.59,1.29,4.06,1.23,C18,5,TPP,90
42,-0.878,Selectosil C18,4.94,1.45,1.69,0.68,1.98,0.14,C18,5,TPP,100
233,-1.712,Shimadzu Pathfinder AP,1.74,1.39,2.53,0.18,1,-0.01,PEG,5,TPP,100
247,-1.835,Shimadzu Pathfinder AS,2.63,1.41,2.67,0.19,0.31,0,PEG,5,TPP,100
273,-1.999,Shimadzu Pathfinder MR,2.08,1.39,2.75,0.14,0.24,-0.03,PEG,5,TPP,100
49,-0.903,Shim-pack GISS C18,2.9,1.44,1.22,0.44,0.25,0.13,C18,5,TPP,200
