feature,mean_importance
SssNH2,0.0
SsssNH,0.0
SssssSi,0.0
SsssP,0.0
SaaSe,0.0
nBondsO,0.0
Zagreb1,0.0
NssSe,0.0
NsCl,0.0
NaaO,0.0
NsF,0.0
nG12Ring,0.0
NssssSi,0.0
SsI,0.0
n12Ring,0.0
n11Ring,0.0
n9Ring,0.0
n8Ring,0.0
n7Ring,0.0
NsssP,0.0
n3Ring,0.0
apol,0.0
NdsssP,0.0
NsSH,0.0
NdS,0.0
NaaS,0.0
n9HRing,0.0
SssSe,0.0
NdNH,0.0
SRW05,0.0
nCl,0.0
n12FRing,0.0
nG12FRing,0.0
nF,0.0
nP,0.0
nS,0.0
n6FARing,0.0
n6FHRing,0.0
n7FHRing,0.0
n5FARing,0.0
SRW02,0.0
n12FaHRing,0.0
n8FaRing,0.0
n9FaRing,0.0
SRW03,0.0
n9FaHRing,0.0
n8FaHRing,0.0
n11FaRing,0.0
nFaHRing,0.0
nI,0.0
n10FRing,0.0
n12FaRing,0.0
n12FARing,0.0
n6FRing,0.0
PetitjeanIndex,0.0
n8AHRing,0.0
n5FRing,0.0
MWC01,0.0
n9AHRing,0.0
n6FAHRing,0.0
n7FAHRing,0.0
MWC02,0.0
n12FAHRing,0.0
n12AHRing,0.0
n11FAHRing,0.0
n10AHRing,0.0
n11AHRing,0.0
nBondsM,3.991727859711802e-11
nG12FaHRing,7.771487172975738e-09
NaaNH,8.738048795468856e-09
AATS0se,1.144071859159046e-08
n3HRing,2.7267349963795014e-08
ATS2v,3.1705853738642206e-08
n8FRing,3.733596514125109e-08
GGI2,4.2500371686630264e-08
Xch-4d,4.8911394435243585e-08
eluent.B.acetone,5.033139260377309e-08
ATSC3i,5.1621233842884254e-08
Xc-5d,5.4482064789241476e-08
nG12FHRing,6.953637366165568e-08
Spe,7.078601804147086e-08
eluent.A.phosphor,7.24062483878872e-08
n7ARing,7.934501481711431e-08
NddssS,8.153333392211735e-08
AATS3v,1.0000252607875182e-07
n4HRing,1.0252193726597788e-07
n5Ring,1.0416072189593783e-07
Mm,1.2902855730636056e-07
nFaRing,1.3201620155346358e-07
ATS0i,1.6417440994193762e-07
MATS3v,1.6713746149622787e-07
nFAHRing,1.734336580305057e-07
ATS4dv,1.7414223897191037e-07
n11FRing,1.8389588179587233e-07
n11FHRing,1.855174430117311e-07
nO,1.9912210873990546e-07
SsF,2.080011484697532e-07
n7FRing,2.2773972414204952e-07
n8FAHRing,2.4549848591870827e-07
eluent.B.trifluoroacetic,2.474049153318274e-07
n8FARing,2.502300919449661e-07
piPC7,2.6542827970682524e-07
SRW08,2.667912485755826e-07
n12FHRing,2.7062316210147916e-07
ATS5dv,2.7241570502729154e-07
StCH,3.142044977678948e-07
NsNH2,3.611154402851334e-07
MATS4d,3.62193126019969e-07
AATS2m,3.7039316942563335e-07
C1SP3,3.821008854625572e-07
NdCH2,4.1208442686842956e-07
Xch-5dv,4.228562765411746e-07
ATSC0dv,4.6070560865045863e-07
ATS5v,5.219571788179188e-07
GATS2p,5.597806747296117e-07
C2SP1,5.903651971591977e-07
nBonds,6.244507838814271e-07
ATS1pe,6.580989822780985e-07
TMWC10,6.796842801425756e-07
nAHRing,6.8689289888825e-07
ATSC8d,6.888632700038227e-07
AATS0pe,7.069705629351997e-07
AATS2pe,7.191464592954527e-07
MWC04,7.200635890427729e-07
n7AHRing,7.429324227162248e-07
ATS4pe,7.532081374709252e-07
nAromBond,7.618777923208523e-07
ATS8are,7.658500760342711e-07
n7aRing,7.720173977492257e-07
MWC09,7.724568415005787e-07
n10FaRing,7.870244660613049e-07
nHetero,7.877229995327354e-07
n5ARing,8.006299530312517e-07
Xch-3dv,8.031336661306829e-07
nSpiro,8.049280391255777e-07
Xc-6dv,8.144087298221463e-07
nHeavyAtom,8.254594222439557e-07
ATSC2are,8.356450472551783e-07
EState_VSA10,8.843121975369607e-07
nRing,9.090208152370133e-07
SRW04,9.124360767723966e-07
MPC10,9.203447395396067e-07
ATSC5p,9.30370116618718e-07
AATS3i,9.596784509432848e-07
GATS3v,1.0040418992903096e-06
MATS2v,1.0234970842032225e-06
AATS4v,1.0375758710441663e-06
ATSC8p,1.0495142474150656e-06
NdssC,1.052539915723065e-06
AATSC4m,1.0539780376976962e-06
MWC06,1.068360934167699e-06
SRW10,1.0720129551101271e-06
Diameter,1.0722910862645194e-06
ATSC0v,1.0802112909527074e-06
ATS8d,1.0929011357479861e-06
ATS3are,1.1264424632497111e-06
SsBr,1.1433540337999967e-06
ATSC1d,1.1564720782007362e-06
ATS0are,1.1612046829275953e-06
AATSC2Z,1.195880574525552e-06
AATS1Z,1.1983142200170175e-06
ATS7Z,1.2105479264691403e-06
SdNH,1.2336720949394747e-06
n7HRing,1.2415702181019055e-06
nBondsD,1.2673203183051484e-06
GGI9,1.3002602561543e-06
SRW09,1.300817112834772e-06
MATS2Z,1.3239621993637978e-06
ATS4are,1.3308080111360324e-06
TIC1,1.3356216442759508e-06
ATS0m,1.339963630829586e-06
n10FARing,1.4271811417018373e-06
GGI1,1.4287010586072796e-06
ATS2are,1.4395804861028898e-06
ATS7pe,1.4692913175760013e-06
MATS3Z,1.4947626328928355e-06
GATS2m,1.5021643549636803e-06
nH,1.5314709935322113e-06
MPC8,1.535052343703408e-06
MATS1v,1.5504614622820905e-06
ATS2d,1.5539061849098936e-06
ATS8pe,1.5635812435664704e-06
ATSC4Z,1.5734756346766355e-06
ATSC4pe,1.5835048978132815e-06
ATS6are,1.6067779033480772e-06
Xc-4d,1.6161309683067163e-06
Xc-3dv,1.6202436589201306e-06
ATSC0pe,1.629389630768141e-06
Sse,1.6371320605921419e-06
AATS0are,1.6582025527102363e-06
fragCpx,1.6631554398234376e-06
ATS1v,1.6939469952079524e-06
ATS2m,1.7088288655023668e-06
ATS1se,1.7144506246902225e-06
ATSC0p,1.7173841812560299e-06
Xp-4d,1.7301641218426395e-06
ATS6d,1.7999455235524937e-06
Xch-5d,1.8182682170375143e-06
TpiPC10,1.8283081070043055e-06
Lipinski,1.8523284269048728e-06
GGI4,1.9038122253579524e-06
GATS1d,1.9437363853667435e-06
MWC08,1.968960595126728e-06
MPC3,1.9896895644618515e-06
nFARing,2.042975685446081e-06
NssS,2.13226833550512e-06
eluent.A.meoh,2.1346883706376515e-06
PEOE_VSA3,2.1454728817147868e-06
ATS4d,2.1588992551399046e-06
piPC10,2.1920839430910125e-06
ATS8Z,2.2364129140179e-06
AATSC3pe,2.2368974043765824e-06
